,symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,t_date,open,adj_close,intraday_return
603,GRAVITA,Record Date,17082023191127,https://nsearchives.nseindia.com/corporate/GRAVITA_17082023191128_BookClosure.pdf,Gravita India Limited,INE024L01019,2023-08-17 19:11:27,2023-08-17 19:11:27,,Mining,,Gravita India Limited has informed the Exchange that Record date for the purpose of Dividend  is 04-Sep-2023.,,,,17-Aug-2023 19:11:36,00:00:09,2023-08-18 19:11:27,737.0,725.0,-1.6282225237449117
606,SHREYAS,Record Date,16082023212357,https://nsearchives.nseindia.com/corporate/SHREYAS_16082023212358_Recorddate.pdf,Shreyas Shipping & Logistics Limited,INE757B01015,2023-08-16 21:23:57,2023-08-16 21:23:57,,Shipping,,Shreyas Shipping & Logistics Limited has informed the Exchange that Record date for the purpose of Dividend  is .,,,,16-Aug-2023 21:24:11,00:00:14,2023-08-17 21:23:57,335.65,335.06,-0.17577834053328617
607,SCI,Record Date,16082023195540,https://nsearchives.nseindia.com/corporate/SCI_16082023195540_Reg42RecorddateBookclosureDatesigned.pdf,Shipping Corporation Of India Limited,INE109A01011,2023-08-16 19:55:40,2023-08-16 19:55:40,,Shipping,,Shipping Corporation Of India Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 01-Sep-2023.,,,,16-Aug-2023 19:55:53,00:00:13,2023-08-17 19:55:40,109.2,116.95,7.097069597069597
608,UNIVCABLES,Record Date,16082023182433,https://nsearchives.nseindia.com/corporate/UNIVCABLES_16082023182433_Book_Closure_and_Record_Date_Regulation_42.pdf,Universal Cables Limited,INE279A01012,2023-08-16 18:24:33,2023-08-16 18:24:33,,Cables - Power,,Universal Cables Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 04-Sep-2023.,,,,16-Aug-2023 18:24:42,00:00:09,2023-08-17 18:24:33,390.95,395.6,1.1894104105384409
609,TBZ,Record Date,16082023174916,https://nsearchives.nseindia.com/corporate/TBZ_16082023174916_TBZ_Notice_Book_Cl_AGM_160823.pdf,Tribhovandas Bhimji Zaveri Limited,INE760L01018,2023-08-16 17:49:16,2023-08-16 17:49:16,,Gems Jewellery And Watches,,Tribhovandas Bhimji Zaveri Limited has informed the Exchange that Record date for the purpose of Dividend  is 06-Sep-2023.,,,,16-Aug-2023 17:49:27,00:00:11,2023-08-17 17:49:16,102.0,108.47,6.34313725490196
610,FINCABLES,Record Date,16082023153434,https://nsearchives.nseindia.com/corporate/FINCABLES_16082023153434_INTAGMDW.pdf,Finolex Cables Limited,INE235A01022,2023-08-16 15:34:34,2023-08-16 15:34:34,,Cables - Power,,Finolex Cables Limited has informed the Exchange that Record date for the purpose of Dividend  is 22-Sep-2023.,,,,16-Aug-2023 15:34:45,00:00:11,2023-08-17 15:34:34,1027.1,1021.63,-0.5325674228410003
614,TARMAT,Record Date,15082023181606,https://nsearchives.nseindia.com/corporate/TARMAT_15082023181606_OC.pdf,Tarmat Limited,INE924H01018,2023-08-15 18:16:06,2023-08-15 18:16:06,,Construction,,Tarmat Limited has informed the Exchange that Record date for the purpose of Meeting  is 22-Sep-2023.,,,,15-Aug-2023 18:16:17,00:00:11,2023-08-16 18:16:06,59.5,59.85,0.5882352941176494
615,CMSINFO,Record Date,14082023213451,https://nsearchives.nseindia.com/corporate/CMSINFO_14082023213452_IntimationforDividendandRecorddate.pdf,CMS Info Systems Limited,INE925R01014,2023-08-14 21:34:51,2023-08-14 21:34:51,,,,CMS Info Systems Limited has informed the Exchange that Record date for the purpose of Dividend  is 30-Aug-2023.,,,,14-Aug-2023 21:35:01,00:00:10,2023-08-15 21:34:51,365.0,355.72,-2.54246575342465
616,UNIDT,Record Date,14082023213306,https://nsearchives.nseindia.com/corporate/UNIDT_14082023213306_Record.pdf,United Drilling Tools Limited,INE961D01019,2023-08-14 21:33:06,2023-08-14 21:33:06,,,,United Drilling Tools Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Aug-2023.,,,,14-Aug-2023 21:33:15,00:00:09,2023-08-15 21:33:06,216.0,210.91,-2.356481481481483
617,INDIANCARD,Record Date,14082023203457,https://nsearchives.nseindia.com/corporate/INDIANCARD_14082023203457_ICC_Disclosure_under_Reg_42_RecordDate_Final.pdf,Indian Card Clothing Company Limited,INE061A01014,2023-08-14 20:34:57,2023-08-14 20:34:57,,Textiles - Synthetic,,Indian Card Clothing Company Limited has informed the Exchange that Record date for the purpose of determining the members eligible to receive the Postal Ballot Notice and vote thereon for Consolidation  Meeting  is 25-Aug-2023.,,,,14-Aug-2023 20:35:06,00:00:09,2023-08-15 20:34:57,229.85,223.95,-2.566891450946272
618,FCL,Record Date,14082023195526,https://nsearchives.nseindia.com/corporate/FCL_14082023195526_IntimationRecordDate.pdf,Fineotex Chemical Limited,INE045J01018,2023-08-14 19:55:26,2023-08-14 19:55:26,,,,Fineotex Chemical Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 08-Sep-2023.,,,,14-Aug-2023 19:55:54,00:00:28,2023-08-15 19:55:26,289.8,285.23,-1.5769496204278788
619,KNRCON,Record Date,14082023192546,https://nsearchives.nseindia.com/corporate/KNRCON_14082023192547_RecordDate.pdf,KNR Constructions Limited,INE634I01011,2023-08-14 19:25:46,2023-08-14 19:25:46,,Construction,,KNR Constructions Limited has informed the Exchange that Record date for the purpose of Dividend  is 22-Sep-2023.,,,,14-Aug-2023 19:30:29,00:04:43,2023-08-15 19:25:46,253.95,242.38,-4.556014963575505
620,TEGA,Record Date,14082023191855,https://nsearchives.nseindia.com/corporate/TEGA_14082023191855_Intimation_for_Outcome_of_Board_Meeting.pdf,Tega Industries Limited,INE011K01018,2023-08-14 19:18:55,2023-08-14 19:18:55,,,,Tega Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 19-Aug-2023.,,,,14-Aug-2023 19:24:26,00:05:31,2023-08-15 19:18:55,974.0,953.55,-2.099589322381935
621,AHLADA,Record Date,14082023185103,https://nsearchives.nseindia.com/corporate/AHLADA_14082023185103_DividendRecorddateintimationNSE.pdf,Ahlada Engineers Limited,INE00PV01013,2023-08-14 18:51:03,2023-08-14 18:51:03,,,,Ahlada Engineers Limited has informed the Exchange that Record date for the purpose of Dividend  is 22-Sep-2023.,,,,14-Aug-2023 19:00:58,00:09:55,2023-08-15 18:51:03,108.15,104.62,-3.2639852057327796
622,UNIDT,Record Date,14082023180532,https://nsearchives.nseindia.com/corporate/UNIDT_14082023180532_Record.pdf,United Drilling Tools Limited,INE961D01019,2023-08-14 18:05:32,2023-08-14 18:05:32,,,,United Drilling Tools Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Aug-2023.,,,,14-Aug-2023 18:11:22,00:05:50,2023-08-15 18:05:32,216.0,210.91,-2.356481481481483
623,GODHA,Record Date,14082023163955,https://nsearchives.nseindia.com/corporate/GODHA_14082023163955_RecordDate.pdf,Godha Cabcon & Insulation Limited,INE925Y01010,2023-08-14 16:39:55,2023-08-14 16:39:55,,,,Godha Cabcon & Insulation Limited has informed the Exchange that Record date for the purpose of Meeting  is 15-Sep-2023.,,,,14-Aug-2023 16:42:23,00:02:28,2023-08-15 16:39:55,0.9,0.9,0.0
624,STARPAPER,Record Date,14082023161749,https://nsearchives.nseindia.com/corporate/STARPAPER_14082023161749_AGM2023INTIMATION.pdf,Star Paper Mills Limited,INE733A01018,2023-08-14 16:17:49,2023-08-14 16:17:49,,Paper And Paper Products,,Star Paper Mills Limited has informed the Exchange that Record date for the purpose of Dividend  is 15-Sep-2023.,,,,14-Aug-2023 16:17:58,00:00:09,2023-08-15 16:17:49,181.0,188.84,4.331491712707185
629,JAICORPLTD,Record Date,12082023160724,https://nsearchives.nseindia.com/corporate/JAICORPLTD_12082023160724_jclbookclosure2023nse.pdf,Jai Corp Limited,INE070D01027,2023-08-12 16:07:24,2023-08-12 16:07:24,,Plastic And Plastic Products,,Jai Corp Limited has informed the Exchange that Record date for the purpose of Dividend & evoting  is 04-Sep-2023.,,,,12-Aug-2023 16:07:35,00:00:11,2023-08-13 16:07:24,175.8,175.89,0.051194539249132524
630,BBOX,Record Date,12082023155835,https://nsearchives.nseindia.com/corporate/BBOX_12082023155835_SELetterBookClosure.pdf,Black Box Limited,INE676A01019,2023-08-12 15:58:35,2023-08-12 15:58:35,,,,Black Box Limited has informed the Exchange that Record date for the purpose of 37th Annual General Meeting  is 19-Sep-2023.,,,,12-Aug-2023 15:58:46,00:00:11,2023-08-13 15:58:35,217.9,207.35,-4.841670491050946
640,ARIES,Record Date,10082023202841,https://nsearchives.nseindia.com/corporate/ARIES_10082023202841_LetterNSEOutComeBM10082023.pdf,Aries Agro Limited,INE298I01015,2023-08-10 20:28:41,2023-08-10 20:28:41,,Fertilisers,,Aries Agro Limited has informed the Exchange that Record date for the purpose of Dividend  is 22-Sep-2023.,,,,10-Aug-2023 20:28:50,00:00:09,2023-08-11 20:28:41,172.55,166.79,-3.3381628513474464
641,GREENPOWER,Record Date,10082023200704,https://nsearchives.nseindia.com/corporate/GREENPOWER_10082023200704_Reg42.pdf,Orient Green Power Company Limited,INE999K01014,2023-08-10 20:07:04,2023-08-10 20:07:04,,Power,,Orient Green Power Company Limited has informed the Exchange that Record date for the purpose of Rights  is 18-Aug-2023.,,,,10-Aug-2023 20:07:14,00:00:10,2023-08-11 20:07:04,13.81,13.17,-4.634322954380887
642,NBCC,Record Date,10082023194348,https://nsearchives.nseindia.com/corporate/NBCC_10082023194348_IntimationofAGM10082023.pdf,NBCC (India) Limited,INE095N01015,2023-08-10 19:43:48,2023-08-10 19:43:48,,Construction,,NBCC (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 01-Sep-2023.,,,,10-Aug-2023 19:44:04,00:00:16,2023-08-11 19:43:48,49.4,48.24,-2.348178137651815
643,CONCOR,Record Date,10082023183549,https://nsearchives.nseindia.com/corporate/CONCOR_10082023183549_CONCOR_SE_10082023S.pdf,Container Corporation of India Limited,INE111A01017,2023-08-10 18:35:49,2023-08-10 18:35:49,,Travel And Transport,,Container Corporation Of India Limited has informed the Exchange that Record date for the purpose of Dividend  is .,,,,10-Aug-2023 18:36:00,00:00:11,2023-08-11 18:35:49,685.0,668.47,-2.413138686131383
644,ATLANTAA,Record Date,10082023172314,https://nsearchives.nseindia.com/corporate/ATLANTA_10082023172314_Reg42.pdf,ATLANTAA LIMITED,INE285H01022,2023-08-10 17:23:14,2023-08-10 17:23:14,,,,Atlanta  Limited has informed the Exchange that Record date for the purpose of Meeting  is 22-Sep-2023.,,,,10-Aug-2023 17:23:23,00:00:09,2023-08-11 17:23:14,14.0,14.0,0.0
645,PRECWIRE,Record Date,10082023164147,https://nsearchives.nseindia.com/corporate/PRECWIRE_10082023164147_AR.pdf,Precision Wires India Limited,INE372C01011,2023-08-10 16:41:47,2023-08-10 16:41:47,,Metals,,Precision Wires India Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 28-Aug-2023.,,,,10-Aug-2023 16:41:59,00:00:12,2023-08-11 16:41:47,92.0,89.9,-2.2826086956521676
646,OIL,Record Date,10082023161837,https://nsearchives.nseindia.com/corporate/OIL_10082023161837_NoticeofAGM10082023.pdf,Oil India Limited,INE274J01014,2023-08-10 16:18:37,2023-08-10 16:18:37,,Oil Exploration/Production,,Oil India Limited has informed the Exchange that Record date for the purpose of Dividend  is 25-Aug-2023.,,,,10-Aug-2023 16:18:57,00:00:20,2023-08-11 16:18:37,278.0,269.9,-2.9136690647482095
647,GHCLTEXTIL,Record Date,10082023161649,https://nsearchives.nseindia.com/corporate/GHCLTEXTIL_10082023161649_GHCL_Textiles_Intimation_3rdAGM_August_2023.PDF,GHCL Textiles Limited,INE0PA801013,2023-08-10 16:16:49,2023-08-10 16:16:49,,,,Ghcl Textiles Limited has informed the Exchange that Record date for the purpose of MT  is 14-Sep-2023.,,,,10-Aug-2023 16:17:09,00:00:20,2023-08-11 16:16:49,72.45,71.85,-0.828157349896492
648,KRBL,Record Date,10082023154106,https://nsearchives.nseindia.com/corporate/KRBL_10082023154107_STX_Intimation_Outcome_BM_100823_SIGNED.pdf,KRBL Limited,INE001B01026,2023-08-10 15:41:06,2023-08-10 15:41:06,,Food And Food Processing,,KRBL Limited has informed the Exchange that Record date for the purpose of Buyback & Dividend  is 25-Aug-2023.,,,,10-Aug-2023 15:41:18,00:00:12,2023-08-11 15:41:06,417.45,403.17,-3.4207689543657858
653,CGCL,Record Date,09082023214429,https://nsearchives.nseindia.com/corporate/CGCL_09082023214429_Intimation_of_AGM_Record_date_Signed.pdf,Capri Global Capital Limited,INE180C01018,2023-08-09 21:44:29,2023-08-09 21:44:29,,,,Capri Global Capital Limited has informed the Exchange that Record date for the purpose of Dividend  is 23-Aug-2023.,,,,09-Aug-2023 21:44:51,00:00:22,2023-08-10 21:44:29,796.0,777.75,-2.292713567839196
654,FDC,Record Date,09082023201930,https://nsearchives.nseindia.com/corporate/FDC_09082023201930_Stockexchangesigned.pdf,FDC Limited,INE258B01022,2023-08-09 20:19:30,2023-08-09 20:19:30,,Pharmaceuticals,,FDC Limited has informed the Exchange that Record date for the purpose of Buyback  is 25-Aug-2023.,,,,09-Aug-2023 20:19:41,00:00:11,2023-08-10 20:19:30,420.0,409.1,-2.59523809523809
655,IIFLSEC,Record Date,09082023200528,https://nsearchives.nseindia.com/corporate/IIFLSEC_09082023200528_SEIntimationBookClosure.pdf,IIFL Securities Limited,INE489L01022,2023-08-09 20:05:28,2023-08-09 20:05:28,,,,IIFL Securities Limited has informed the Exchange that Record date for the purpose of Meeting  is 24-Aug-2023.,,,,09-Aug-2023 20:05:38,00:00:10,2023-08-10 20:05:28,66.5,65.95,-0.8270676691729281
656,CGCL,Record Date,09082023182241,https://nsearchives.nseindia.com/corporate/CGCL_09082023182241_Intimation_of_Annual_General_Meeting_and_Record_Date_signed.pdf,Capri Global Capital Limited,INE180C01018,2023-08-09 18:22:41,2023-08-09 18:22:41,,,,Capri Global Capital Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,09-Aug-2023 18:22:50,00:00:09,2023-08-10 18:22:41,796.0,777.75,-2.292713567839196
657,POKARNA,Record Date,09082023180108,https://nsearchives.nseindia.com/corporate/POKARNA_09082023180108_Pokarnasigned.pdf,Pokarna Limited,INE637C01017,2023-08-09 18:01:08,2023-08-09 18:01:08,,,,Pokarna Limited has informed the Exchange that Record date for the purpose of Dividend  is 11-Sep-2023.,,,,09-Aug-2023 18:01:38,00:00:30,2023-08-10 18:01:08,394.5,407.97,3.4144486692015277
658,MAPMYINDIA,Record Date,09082023175827,https://nsearchives.nseindia.com/corporate/MAPMYINDIA_09082023175827_MMI_Record_Date_Dividend.pdf,C.E. Info Systems Limited,INE0BV301023,2023-08-09 17:58:27,2023-08-09 17:58:27,,,,C.E. Info Systems Limited has informed the Exchange that Record date for the purpose of Dividend  is 25-Aug-2023.,,,,09-Aug-2023 17:59:04,00:00:37,2023-08-10 17:58:27,1600.0,1579.92,-1.2549999999999955
659,BHARATRAS,Record Date,09082023165912,https://nsearchives.nseindia.com/corporate/BHARATRAS_09082023165912_UFR_30_06_2023__BHARATRAS.pdf,Bharat Rasayan Limited,INE838B01013,2023-08-09 16:59:12,2023-08-09 16:59:12,,Pesticides And Agrochemicals,,Bharat Rasayan Limited has informed the Exchange that Record date for the purpose of Dividend  is 06-Sep-2023.,,,,09-Aug-2023 16:59:21,00:00:09,2023-08-10 16:59:12,9067.2,9116.88,0.54790894653254
660,MANALIPETC,Record Date,09082023164003,https://nsearchives.nseindia.com/corporate/MANALIPETC_09082023164003_Outcome_of_BM_Q1_Signed.pdf,Manali Petrochemicals Limited,INE201A01024,2023-08-09 16:40:03,2023-08-09 16:40:03,,Petrochemicals,,Manali Petrochemicals Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 15-Sep-2023,,,,09-Aug-2023 16:40:17,00:00:14,2023-08-10 16:40:03,64.1,62.76,-2.0904836193447682
661,DREAMFOLKS,Record Date,09082023153806,https://nsearchives.nseindia.com/corporate/DREAMFOLKS_09082023153807_Dreamfolks_BMOutcome_DividendAGM_09082023.pdf,Dreamfolks Services Limited,INE0JS101016,2023-08-09 15:38:06,2023-08-09 15:38:06,,,,Dreamfolks Services Limited has informed the Exchange that Record date for the purpose of Dividend  is 22-Aug-2023.,,,,09-Aug-2023 15:38:17,00:00:11,2023-08-10 15:38:06,580.0,563.34,-2.872413793103443
662,MANAKSIA,Record Date,09082023153550,https://nsearchives.nseindia.com/corporate/MANAKSIA_09082023153550_OutcomeML.pdf,Manaksia Limited,INE015D01022,2023-08-09 15:35:50,2023-08-09 15:35:50,,Steel And Steel Products,,Manaksia Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 14-Sep-2023.,,,,09-Aug-2023 15:36:09,00:00:19,2023-08-10 15:35:50,135.0,125.89,-6.7481481481481485
665,POWERGRID,Record Date,08082023192343,https://nsearchives.nseindia.com/corporate/POWERGRID_08082023192344_NSEBSERDdt08082023.pdf,Power Grid Corporation of India Limited,INE752E01010,2023-08-08 19:23:43,2023-08-08 19:23:43,,Power,,Power Grid Corporation of India Limited has informed the Exchange that Record date for the purpose of Bonus  is 12-Sep-2023.,,,,08-Aug-2023 19:24:00,00:00:17,2023-08-09 19:23:43,182.25,176.83,-2.973936899862819
666,JAGSNPHARM,Record Date,08082023185510,https://nsearchives.nseindia.com/corporate/JAGSNPHARM_08082023185510_BSENSEIntimatiounderrecorddate.pdf,Jagsonpal Pharmaceuticals Limited,INE048B01027,2023-08-08 18:55:10,2023-08-08 18:55:10,,Pharmaceuticals,,Jagsonpal Pharmaceuticals Limited has informed the Exchange that Record date for the purpose of DI  is 21-Aug-2023.,,,,08-Aug-2023 18:55:30,00:00:20,2023-08-09 18:55:10,478.05,462.75,-3.200502039535616
667,MAYURUNIQ,Record Date,08082023184958,https://nsearchives.nseindia.com/corporate/MAYURUNIQ_08082023184959_Record.pdf,Mayur Uniquoters Ltd,INE040D01012,2023-08-08 18:49:58,2023-08-08 18:49:58,,Textile Products,,Mayur Uniquoters Ltd has informed the Exchange that Record date for the purpose of Dividend  is 24-Aug-2023.,,,,08-Aug-2023 18:50:22,00:00:24,2023-08-09 18:49:58,519.0,503.74,-2.9402697495183028
668,GICHSGFIN,Record Date,07082023203813,https://nsearchives.nseindia.com/corporate/GICHSGFIN_07082023203813_Recorddate.pdf,GIC Housing Finance Limited,INE289B01019,2023-08-07 20:38:13,2023-08-07 20:38:13,,Finance - Housing,,GIC Housing Finance Limited has informed the Exchange that Record date for the purpose of Dividend  is 25-Aug-2023.,,,,07-Aug-2023 21:41:02,01:02:49,2023-08-08 20:38:13,189.0,176.5,-6.613756613756614
669,MANINDS,Record Date,07082023191014,https://nsearchives.nseindia.com/corporate/MANINDS_07082023191014_MIILBMOUTCOME070823.pdf,Man Industries (India) Limited,INE993A01026,2023-08-07 19:10:14,2023-08-07 19:10:14,,Steel And Steel Products,,Man Industries (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Aug-2023.,,,,07-Aug-2023 21:31:38,02:21:24,2023-08-08 19:10:14,145.8,146.47,0.4595336076817472
670,5PAISA,Record Date,07082023190703,https://nsearchives.nseindia.com/corporate/5PAISA_07082023190703_AGMIntimationBookclosureRecorddate.pdf,5Paisa Capital Limited,INE618L01018,2023-08-07 19:07:03,2023-08-07 19:07:03,,,,5Paisa Capital Limited has informed the Exchange that Record date for the purpose of Meeting  is 24-Aug-2023.,,,,07-Aug-2023 21:31:03,02:24:00,2023-08-08 19:07:03,448.4,454.9,1.449598572702944
671,DSKULKARNI,Record Date,07082023184710,https://nsearchives.nseindia.com/corporate/DSKULKARNI_07082023184710_Intimationofrecorddate.pdf,DS Kulkarni Developers Limited,INE891A01014,2023-08-07 18:47:10,2023-08-07 18:47:10,,Construction,,DS Kulkarni Developers Limited has informed the Exchange that Record date for the purpose of Intimation for record date under Regulation 60(2) of SEBI (LODR) 2015 Regulations &  2015  is 18-Aug-2023.,,,,07-Aug-2023 21:26:37,02:39:27,2023-08-08 18:47:10,13.55,13.55,0.0
672,CUB,Record Date,07082023175058,https://nsearchives.nseindia.com/corporate/CUB_07082023175058_RECORDDATE11082023.pdf,City Union Bank Limited,INE491A01021,2023-08-07 17:50:58,2023-08-07 17:50:58,,Banks,,City Union Bank Limited has informed the Exchange that Record date for the purpose of Dividend  is 11-Aug-2023.,,,,07-Aug-2023 21:12:37,03:21:39,2023-08-08 17:50:58,134.0,132.34,-1.238805970149251
673,PETRONET,Record Date,07082023174945,https://nsearchives.nseindia.com/corporate/PETRONET_07082023174945_SEIntimationrecorddate18082023s.pdf,Petronet LNG Limited,INE347G01014,2023-08-07 17:49:45,2023-08-07 17:49:45,,Gas,,Petronet LNG Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,07-Aug-2023 21:12:16,03:22:31,2023-08-08 17:49:45,227.0,214.55,-5.484581497797352
674,NSLNISP,Record Date,07082023164100,https://nsearchives.nseindia.com/corporate/NSLNISP_07082023164100_NoticeofRecordDateNSL.pdf,NMDC Steel Limited,INE0NNS01018,2023-08-07 16:41:00,2023-08-07 16:41:00,,,,NMDC Steel Limited has informed the Exchange that Record date for the purpose of Payment of interest on Non-Convertible Debentures of NMDC Steel Limited.  is 18-Aug-2023.,,,,07-Aug-2023 20:57:09,04:16:09,2023-08-08 16:41:00,47.65,47.25,-0.8394543546694619
675,WORTH,Record Date,07082023160405,https://nsearchives.nseindia.com/corporate/WORTH_07082023160405_BookClosure.pdf,Worth Peripherals Limited,INE196Y01018,2023-08-07 16:04:05,2023-08-07 16:04:05,,,,Worth Peripherals Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is .,,,,07-Aug-2023 20:50:32,04:46:27,2023-08-08 16:04:05,103.0,99.75,-3.1553398058252426
677,ONGC,Record Date,05082023224045,https://nsearchives.nseindia.com/corporate/ONGC_05082023224046_RD05082023.pdf,Oil & Natural Gas Corporation Limited,INE213A01011,2023-08-05 22:40:45,2023-08-05 22:40:45,,Oil Exploration/Production,,Oil & Natural Gas Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,07-Aug-2023 00:13:43,25:32:58,2023-08-06 22:40:45,174.3,167.45,-3.9300057372346657
678,NEOGEN,Record Date,05082023210637,https://nsearchives.nseindia.com/corporate/NEOGEN_05082023210637_BMoutcome.pdf,Neogen Chemicals Limited,INE136S01016,2023-08-05 21:06:37,2023-08-05 21:06:37,,,,Neogen Chemicals Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 25-Aug-2023.,,,,07-Aug-2023 00:11:33,27:04:56,2023-08-06 21:06:37,1570.0,1561.54,-0.5388535031847157
679,JINDALSTEL,Record Date,05082023210406,https://nsearchives.nseindia.com/corporate/JINDALSTEL_05082023210406_stxRecorddate.pdf,Jindal Steel & Power Limited,INE749A01030,2023-08-05 21:04:06,2023-08-05 21:04:06,,Steel And Steel Products,,Jindal Steel & Power Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,07-Aug-2023 00:11:23,27:07:17,2023-08-06 21:04:06,657.85,655.41,-0.37090522155507405
680,CDSL,Record Date,05082023172125,https://nsearchives.nseindia.com/corporate/CDSL_05082023172125_CoveringletterAGMRecorddate.pdf,Central Depository Services (India) Limited,INE736A01011,2023-08-05 17:21:25,2023-08-05 17:21:25,,,,Central Depository Services (India) Limited has informed the Exchange that Record date for the purpose of Dividend  is 25-Aug-2023.,,,,06-Aug-2023 23:55:41,30:34:16,2023-08-06 17:21:25,1229.0,1183.07,-3.7371847030105827
684,RELIANCE,Record Date,04082023192352,https://nsearchives.nseindia.com/corporate/RELIANCE_04082023192352_SE_AGM.pdf,Reliance Industries Limited,INE002A01018,2023-08-04 19:23:52,2023-08-04 19:23:52,,Refineries,,Reliance Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Aug-2023.,,,,04-Aug-2023 19:24:35,00:00:43,2023-08-05 19:23:52,2521.0,2514.97,-0.23919079730266563
685,TANLA,Record Date,04082023190307,https://nsearchives.nseindia.com/corporate/TANLA_04082023190307_SE_Book_Closure_Record_Date_AGM_Dividend.pdf,Tanla Platforms Limited,INE483C01032,2023-08-04 19:03:07,2023-08-04 19:03:07,,Computers - Software,,Tanla Platforms Limited has informed the Exchange that Record date for the purpose of Final Dividend & AGM is 30-Aug-2023.,,,,04-Aug-2023 19:03:20,00:00:13,2023-08-05 19:03:07,1161.15,1119.3,-3.6041855057486227
686,PRUDENT,Record Date,04082023163031,https://nsearchives.nseindia.com/corporate/PRUDENT_04082023163032_RecordDate.pdf,Prudent Corporate Advisory Services Limited,INE00F201020,2023-08-04 16:30:31,2023-08-04 16:30:31,,,,Prudent Corporate Advisory Services Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,04-Aug-2023 16:30:48,00:00:17,2023-08-05 16:30:31,1161.4,1158.17,-0.27811262269674686
687,CAMS,Record Date,04082023160103,https://nsearchives.nseindia.com/corporate/CAMS_04082023160103_Recorddate.pdf,Computer Age Management Services Limited,INE596I01012,2023-08-04 16:01:03,2023-08-04 16:01:03,,,,Computer Age Management Services Limited has informed the Exchange that Record date for the purpose of Dividend  is 15-Aug-2023.,,,,04-Aug-2023 16:01:16,00:00:13,2023-08-05 16:01:03,2319.95,2349.45,1.2715791288605358
688,BAIDFIN,Record Date,04082023154958,https://nsearchives.nseindia.com/corporate/BAIDFIN_04082023154958_RecordDate.pdf,Baid Finserv Limited,INE020D01022,2023-08-04 15:49:58,2023-08-04 15:49:58,,,,Baid Finserv Limited has informed the Exchange that Record date for the purpose of Dividend  is 31-Aug-2023.,,,,04-Aug-2023 15:50:12,00:00:14,2023-08-05 15:49:58,46.5,40.79,-12.279569892473122
691,GEPIL,Record Date,03082023222805,https://nsearchives.nseindia.com/corporate/GEPIL_03082023222805_Reg42AGMBookClosurenotice.pdf,GE Power India Limited,INE878A01011,2023-08-03 22:28:05,2023-08-03 22:28:05,,,,GE Power India Limited has informed the Exchange that Record date for the purpose of Meeting  is 21-Aug-2023.,,,,03-Aug-2023 22:28:18,00:00:13,2023-08-04 22:28:05,186.05,190.4,2.3380811609782284
692,SOMANYCERA,Record Date,03082023215215,https://nsearchives.nseindia.com/corporate/SOMANYCERA_03082023215215_Regulation42_BookClosure.pdf,Somany Ceramics Limited,INE355A01010,2023-08-03 21:52:15,2023-08-03 21:52:15,,Ceramics And Sanitaryware,,Somany Ceramics Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 18-Aug-2023.,,,,03-Aug-2023 21:52:28,00:00:13,2023-08-04 21:52:15,740.8,754.56,1.857451403887688
693,STEELCAS,Record Date,03082023203034,https://nsearchives.nseindia.com/corporate/STEELCAS_03082023203034_RecordDateCoveringLetter.pdf,Steelcast Limited,INE124E01020,2023-08-03 20:30:34,2023-08-03 20:30:34,,,,Steelcast Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Aug-2023.,,,,03-Aug-2023 20:30:47,00:00:13,2023-08-04 20:30:34,520.0,526.38,1.2269230769230761
694,RBLBANK,Record Date,03082023173824,https://nsearchives.nseindia.com/corporate/RBLBANK_03082023173825_DateofAGMintimation.pdf,RBL Bank Limited,INE976G01028,2023-08-03 17:38:24,2023-08-03 17:38:24,,,,RBL Bank Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2023.,,,,03-Aug-2023 17:38:40,00:00:16,2023-08-04 17:38:24,219.0,214.62,-1.999999999999998
